config,min_size,min_samples,metric,eps,min_df,max_df,Silhouette Score,Topic Coherence,Total Topics
81,10,20,cosine,0.6,2,400,0.04388499,0.589912268787314,12
82,10,20,cosine,0.6,2,500,0.042551998,0.554540102355812,11
83,10,20,cosine,0.6,2,600,0.04864376,0.567725047162087,11
84,10,20,cosine,0.6,2,700,0.0454682,0.577294599725195,11
85,10,20,cosine,0.6,3,300,0.054283228,0.559274799510623,12
86,10,20,cosine,0.6,3,400,0.040526725,0.522247375954736,12
87,10,20,cosine,0.6,3,500,0.05582762,0.558475451373566,12
88,10,20,cosine,0.6,3,600,0.053660363,0.521945517078847,13
89,10,20,cosine,0.6,3,700,0.04485283,0.565561618752077,12
90,10,20,cosine,0.6,4,300,0.061052743,0.574877681373787,12
91,10,20,cosine,0.6,4,400,0.050856512,0.586647515108774,12
92,10,20,cosine,0.6,4,500,0.05408257,0.616245146595993,13
93,10,20,cosine,0.6,4,600,0.056327153,0.539051920156138,13
94,10,20,cosine,0.6,4,700,0.052985497,0.523937589136307,13
95,10,20,cosine,0.6,5,300,0.049879685,0.570208811731699,12
96,10,20,cosine,0.6,5,400,0.042701457,0.546184863604039,12
97,10,20,cosine,0.6,5,500,0.045964077,0.56320031049464,11
98,10,20,cosine,0.6,5,600,0.056569863,0.556505152822267,12
99,10,20,cosine,0.6,5,700,0.04648914,0.537185676417613,11
100,10,20,cosine,0.7,2,300,0.056514677,0.580050495476828,13
101,10,20,cosine,0.7,2,400,0.045415077,0.559820912148241,12
102,10,20,cosine,0.7,2,500,0.054605618,0.569361396122432,14
103,10,20,cosine,0.7,2,600,0.049008068,0.541175264401547,13
104,10,20,cosine,0.7,2,700,0.04434086,0.552454063402981,13
105,10,20,cosine,0.7,3,300,0.049337484,0.536088533522044,13
106,10,20,cosine,0.7,3,400,0.042658005,0.502272065463483,13
107,10,20,cosine,0.7,3,500,0.053273365,0.526826055525314,13
108,10,20,cosine,0.7,3,600,0.04978755,0.538905743147773,13
109,10,20,cosine,0.7,3,700,0.050810907,0.548742430365428,15
110,10,20,cosine,0.7,4,300,0.054484528,0.562890105073812,13
111,10,20,cosine,0.7,4,400,0.04829578,0.494751558874966,14
112,10,20,cosine,0.7,4,500,0.043951456,0.503321708322903,13
113,10,20,cosine,0.7,4,600,0.05048257,0.532658913403356,13
114,10,20,cosine,0.7,4,700,0.05032638,0.60927022698036,13
115,10,20,cosine,0.7,5,300,0.060528334,0.550141561747239,13
116,10,20,cosine,0.7,5,400,0.04965119,0.535948359470156,13
117,10,20,cosine,0.7,5,500,0.04986406,0.543876553319372,13
118,10,20,cosine,0.7,5,600,0.052973077,0.5271850756748,13
119,10,20,cosine,0.7,5,700,0.04820213,0.526953537465171,13
120,10,30,cosine,0.5,2,300,0.031495314,0.622079284507644,3
121,10,30,cosine,0.5,2,400,0.030935353,0.622079284507644,3
122,10,30,cosine,0.5,2,500,0.032114808,0.634481213054431,3
123,10,30,cosine,0.5,2,600,0.031910975,0.604894904799741,3
124,10,30,cosine,0.5,2,700,0.03048424,0.622079284507644,3
125,10,30,cosine,0.5,3,300,0.03157451,0.548896918866806,3
126,10,30,cosine,0.5,3,400,0.03180422,0.528834259777841,3
127,10,30,cosine,0.5,3,500,0.032015562,0.548545654988385,3
128,10,30,cosine,0.5,3,600,0.03285671,0.548545654988385,3
129,10,30,cosine,0.5,3,700,0.06649207,0.569605663404533,8
130,10,30,cosine,0.5,5,300,0.06532638,0.607263090240275,7
131,10,30,cosine,0.5,5,600,0.06978105,0.538038802763357,7
132,10,30,cosine,0.6,2,300,0.052738708,0.585906439092507,12
133,10,30,cosine,0.6,2,400,0.04546504,0.544784566015109,11
134,10,30,cosine,0.6,2,500,0.059038665,0.612018363621981,12
135,10,30,cosine,0.6,2,600,0.045335997,0.565627943923056,11
136,10,30,cosine,0.6,2,700,0.048389353,0.553472613383454,11
137,10,30,cosine,0.6,3,300,0.05450518,0.580741780876102,13
138,10,30,cosine,0.6,3,400,0.054075558,0.552312365071926,13
139,10,30,cosine,0.6,3,500,0.05154402,0.55316944919661,11
140,10,30,cosine,0.6,3,600,0.054684453,0.560020527600644,12
141,10,30,cosine,0.6,3,700,0.0407626,0.546965358103281,11
142,10,30,cosine,0.6,4,300,0.045762505,0.513985089587168,12
143,10,30,cosine,0.6,4,400,0.043494154,0.524711803320082,11
144,10,30,cosine,0.6,4,500,0.048917223,0.574777568542094,12
145,10,30,cosine,0.6,4,600,0.058594227,0.550112866408738,13
146,10,30,cosine,0.6,4,700,0.053023677,0.588343327876286,12
147,10,30,cosine,0.6,5,300,0.055112734,0.548472802961911,13
148,10,30,cosine,0.6,5,400,0.044223055,0.56385843095103,10
149,10,30,cosine,0.6,5,500,0.04670655,0.528028116714118,11
150,10,30,cosine,0.6,5,600,0.05203356,0.56333692839002,14
151,10,30,cosine,0.6,5,700,0.041099288,0.537482694546295,12
152,10,30,cosine,0.7,2,300,0.04468831,0.561875633305267,11
153,10,30,cosine,0.7,2,400,0.05200203,0.559177662366797,13
154,10,30,cosine,0.7,2,500,0.04469511,0.545118098028603,11
155,10,30,cosine,0.7,2,600,0.053354666,0.549280179651539,13
156,10,30,cosine,0.7,2,700,0.048639253,0.578313667516691,13
157,10,30,cosine,0.7,3,300,0.048617397,0.496030421259458,13
158,10,30,cosine,0.7,3,400,0.0487821,0.548221645975791,12
159,10,30,cosine,0.7,3,500,0.053289607,0.575836499592832,14
160,10,30,cosine,0.7,3,600,0.044345126,0.519380484828726,12
161,10,30,cosine,0.7,3,700,0.0484841,0.503941153359093,14
162,10,30,cosine,0.7,4,300,0.051344387,0.568766240689104,12
163,10,30,cosine,0.7,4,400,0.041610204,0.49375988494891,12
164,10,30,cosine,0.7,4,500,0.048587147,0.517045194360786,14
165,10,30,cosine,0.7,4,600,0.04464776,0.535225725264499,12
166,10,30,cosine,0.7,4,700,0.047741883,0.566230950295819,13
167,10,30,cosine,0.7,5,300,0.041194886,0.518744479233471,12
168,10,30,cosine,0.7,5,400,0.047097303,0.532793689312269,12
169,10,30,cosine,0.7,5,500,0.045778085,0.518218643607581,12
170,10,30,cosine,0.7,5,600,0.05305325,0.529553981202792,13
171,10,30,cosine,0.7,5,700,0.042870943,0.543817625392192,12
172,20,10,cosine,0.5,2,300,0.06553089,0.66757603530797,10
173,20,10,cosine,0.5,2,400,0.058927637,0.652312782736181,10
174,20,10,cosine,0.5,2,500,0.063019305,0.637102802229602,11
175,20,10,cosine,0.5,2,600,0.058873918,0.610488097701981,12
176,20,10,cosine,0.5,2,700,0.061048582,0.625959559338625,11
177,20,10,cosine,0.5,3,300,0.056721043,0.609739220576478,10
178,20,10,cosine,0.5,3,400,0.061331954,0.598490624348577,11
179,20,10,cosine,0.5,3,500,0.060814124,0.623671683138349,11
180,20,10,cosine,0.5,3,600,0.07618731,0.574898306318049,12
181,20,10,cosine,0.5,3,700,0.060370836,0.614476491723856,10
182,20,10,cosine,0.5,4,300,0.06342073,0.54079867847988,11
183,20,10,cosine,0.5,4,400,0.0650006,0.557549286419738,12
184,20,10,cosine,0.5,4,500,0.06862663,0.584655219923189,9
185,20,10,cosine,0.5,4,600,0.05799715,0.542666660799303,11
186,20,10,cosine,0.5,4,700,0.05467005,0.606213576028881,10
187,20,10,cosine,0.5,5,300,0.07021101,0.537873749182378,12
188,20,10,cosine,0.5,5,400,0.059940223,0.553719322068083,11
189,20,10,cosine,0.5,5,500,0.07181055,0.557985584321788,12
190,20,10,cosine,0.5,5,600,0.072232336,0.550510266922698,12
191,20,10,cosine,0.5,5,700,0.061663013,0.536588332828658,11
192,20,10,cosine,0.6,2,300,0.05619091,0.57080206554772,13
193,20,10,cosine,0.6,2,400,0.0572242,0.582302355299847,12
194,20,10,cosine,0.6,2,500,0.05487258,0.582150311204575,13
195,20,10,cosine,0.6,2,600,0.05850647,0.587092140439273,12
196,20,10,cosine,0.6,2,700,0.05252832,0.562385046108775,12
197,20,10,cosine,0.6,3,300,0.039799552,0.529808042570826,12
198,20,10,cosine,0.6,3,400,0.04931063,0.548790132644974,12
199,20,10,cosine,0.6,3,500,0.04694966,0.560851868846459,12
200,20,10,cosine,0.6,3,600,0.047521845,0.56771948842425,12
201,20,10,cosine,0.6,3,700,0.054142985,0.549615803718143,12
202,20,10,cosine,0.6,4,300,0.040384434,0.491101556591475,12
203,20,10,cosine,0.6,4,400,0.053786308,0.517629942893258,12
204,20,10,cosine,0.6,4,500,0.044184398,0.513432236126834,12
205,20,10,cosine,0.6,4,600,0.054845165,0.565923966561733,12
206,20,10,cosine,0.6,4,700,0.047054503,0.51079504297394,12
207,20,10,cosine,0.6,5,300,0.056347653,0.546976816337989,13
208,20,10,cosine,0.6,5,400,0.04307707,0.532691543981582,11
209,20,10,cosine,0.6,5,500,0.04281103,0.536601247277021,11
210,20,10,cosine,0.6,5,600,0.048237383,0.532668322198641,11
211,20,10,cosine,0.6,5,700,0.042779736,0.52755415339787,11
212,20,10,cosine,0.7,2,300,0.054571968,0.569245397256129,13
213,20,10,cosine,0.7,2,400,0.047536187,0.554621678485039,14
214,20,10,cosine,0.7,2,500,0.055139307,0.56158799839774,13
215,20,10,cosine,0.7,2,600,0.050703533,0.544021382386934,14
216,20,10,cosine,0.7,2,700,0.0543191,0.56043065378867,13
217,20,10,cosine,0.7,3,300,0.047825374,0.531210727745025,13
218,20,10,cosine,0.7,3,400,0.05428866,0.537373679006329,13
219,20,10,cosine,0.7,3,500,0.0523648,0.549124002095322,14
220,20,10,cosine,0.7,3,600,0.04557077,0.534820089789987,12
221,20,10,cosine,0.7,3,700,0.05330785,0.555018545983715,13
